month,views,article,access_type
2018-05-01,59601,Tyrannosaurus,mobile
2018-06-01,139326,Tyrannosaurus,mobile
2018-07-01,117971,Tyrannosaurus,mobile
2018-08-01,68191,Tyrannosaurus,mobile
2018-09-01,60117,Tyrannosaurus,mobile
2018-10-01,56196,Tyrannosaurus,mobile
2018-11-01,52198,Tyrannosaurus,mobile
2018-12-01,52485,Tyrannosaurus,mobile
2019-01-01,56221,Tyrannosaurus,mobile
2019-02-01,51000,Tyrannosaurus,mobile
2019-03-01,67492,Tyrannosaurus,mobile
2019-04-01,57280,Tyrannosaurus,mobile
2019-05-01,52152,Tyrannosaurus,mobile
2019-06-01,51095,Tyrannosaurus,mobile
2019-07-01,51514,Tyrannosaurus,mobile
2019-08-01,48279,Tyrannosaurus,mobile
2019-09-01,51192,Tyrannosaurus,mobile
2019-10-01,48248,Tyrannosaurus,mobile
2019-11-01,46251,Tyrannosaurus,mobile
2019-12-01,49122,Tyrannosaurus,mobile
2020-01-01,56866,Tyrannosaurus,mobile
2020-02-01,56635,Tyrannosaurus,mobile
2020-03-01,57206,Tyrannosaurus,mobile
2020-04-01,71712,Tyrannosaurus,mobile
2020-05-01,67871,Tyrannosaurus,mobile
2020-06-01,60024,Tyrannosaurus,mobile
2020-07-01,63542,Tyrannosaurus,mobile
2020-08-01,74654,Tyrannosaurus,mobile
2020-09-01,57071,Tyrannosaurus,mobile
2020-10-01,59452,Tyrannosaurus,mobile
2020-11-01,56525,Tyrannosaurus,mobile
2020-12-01,58055,Tyrannosaurus,mobile
2021-01-01,61071,Tyrannosaurus,mobile
2021-02-01,57623,Tyrannosaurus,mobile
2021-03-01,65910,Tyrannosaurus,mobile
2021-04-01,78138,Tyrannosaurus,mobile
2021-05-01,62398,Tyrannosaurus,mobile
2021-06-01,63028,Tyrannosaurus,mobile
2021-07-01,56701,Tyrannosaurus,mobile
2021-08-01,57772,Tyrannosaurus,mobile
2021-09-01,55918,Tyrannosaurus,mobile
2021-10-01,50630,Tyrannosaurus,mobile
2021-11-01,49872,Tyrannosaurus,mobile
2021-12-01,57002,Tyrannosaurus,mobile
2022-01-01,59316,Tyrannosaurus,mobile
2022-02-01,53710,Tyrannosaurus,mobile
2022-03-01,61967,Tyrannosaurus,mobile
2022-04-01,58794,Tyrannosaurus,mobile
2022-05-01,68130,Tyrannosaurus,mobile
2022-06-01,116521,Tyrannosaurus,mobile
2022-07-01,88247,Tyrannosaurus,mobile
2022-08-01,72021,Tyrannosaurus,mobile
2022-09-01,62079,Tyrannosaurus,mobile
2017-08-01,2748,Borealopelta,mobile
2017-09-01,541,Borealopelta,mobile
2017-10-01,1501,Borealopelta,mobile
2017-11-01,430,Borealopelta,mobile
2017-12-01,501,Borealopelta,mobile
2018-01-01,436,Borealopelta,mobile
2018-02-01,1516,Borealopelta,mobile
2018-03-01,597,Borealopelta,mobile
2018-04-01,397,Borealopelta,mobile
2018-05-01,664,Borealopelta,mobile
2018-06-01,1039,Borealopelta,mobile
2018-07-01,797,Borealopelta,mobile
2018-08-01,995,Borealopelta,mobile
2018-09-01,699,Borealopelta,mobile
2018-10-01,710,Borealopelta,mobile
2018-11-01,2544,Borealopelta,mobile
2018-12-01,2670,Borealopelta,mobile
2019-01-01,615,Borealopelta,mobile
2019-02-01,429,Borealopelta,mobile
